caldt,vwretd
19260130,-0.001783
19260227,-0.033296
19260331,-0.057708
19260430,0.038522
19260528,0.013623
19260630,0.056427
19260731,0.040403
19260831,0.029822
19260930,0.013420
19261030,-0.030172
19261130,0.026937
19261231,0.026047
19270131,-0.002910
19270228,0.045522
19270331,0.007324
19270430,0.013021
19270531,0.062353
19270630,-0.020370
19270730,0.084450
19270831,0.033320
19270930,0.053016
19271031,-0.046804
19271130,0.070546
19271231,0.019295
19280131,-0.007182
19280229,-0.012549
19280331,0.105752
19280430,0.034725
19280531,0.012325
19280630,-0.034330
19280731,0.010117
19280831,0.070230
19280929,0.022409
19281031,0.013839
19281130,0.122975
19281231,0.006232
19290131,0.055473
19290228,-0.004874
19290328,0.000154
19290430,0.019559
19290531,-0.041281
19290629,0.112294
19290731,0.050014
19290830,0.094871
19290930,-0.050941
19291031,-0.186150
19291127,-0.125359
19291231,0.027753
19300131,0.059632
19300228,0.026041
19300331,0.072348
19300430,-0.013938
19300529,-0.011148
19300630,-0.155715
19300731,0.038713
19300829,0.011266
19300930,-0.123549
19301031,-0.083680
19301129,-0.019736
19301231,-0.071479
19310131,0.059527
19310228,0.110943
19310331,-0.068939
19310430,-0.092955
19310529,-0.137674
19310630,0.146492
19310731,-0.075465
19310831,0.007779
19310930,-0.287461
19311031,0.076738
19311130,-0.100909
19311231,-0.137557
19320130,-0.018803
19320229,0.053581
19320331,-0.118907
19320430,-0.205295
19320531,-0.232123
19320630,0.002768
19320730,0.391838
19320831,0.401979
19320930,-0.029526
19321031,-0.142069
19321130,-0.052228
19321231,0.061569
19330131,0.013938
19330228,-0.179558
19330331,0.038627
19330429,0.414312
19330531,0.174816
19330630,0.137498
19330731,-0.084736
19330831,0.123272
19330930,-0.118045
19331031,-0.090623
19331129,0.108553
19331230,0.026694
19340131,0.115033
19340228,-0.032840
19340331,0.005355
19340430,-0.025490
19340531,-0.078497
19340630,0.024080
19340731,-0.119846
19340831,0.058650
19340929,-0.000216
19341031,-0.032663
19341130,0.086059
19341231,-0.000681
19350131,-0.042368
19350228,-0.036840
19350330,-0.031454
19350430,0.096493
19350531,0.038135
19350629,0.070533
19350731,0.083814
19350831,0.026569
19350930,0.025526
19351031,0.071803
19351130,0.051943
19351231,0.039887
19360131,0.071832
19360229,0.022461
19360331,0.024029
19360430,-0.077588
19360529,0.053106
19360630,0.032542
19360731,0.073442
19360831,0.014124
19360930,0.004817
19361031,0.076281
19361130,0.010666
19361231,-0.003830
19370130,0.036648
19370227,0.018483
19370331,-0.003511
19370430,-0.080646
19370528,-0.005699
19370630,-0.053803
19370731,0.098991
19370831,-0.051183
19370930,-0.139610
19371030,-0.102722
19371130,-0.084289
19371231,-0.045828
19380131,0.012163
19380228,0.065757
19380331,-0.254106
19380430,0.142667
19380531,-0.039973
19380630,0.253519
19380730,0.074738
19380831,-0.025901
19380930,0.016932
19381031,0.078960
19381130,-0.026207
19381231,0.044810
19390131,-0.070506
19390228,0.039292
19390331,-0.134821
19390429,-0.006611
19390531,0.069557
19390630,-0.061810
19390731,0.111310
19390831,-0.067551
19390930,0.181167
19391031,-0.016887
19391130,-0.040532
19391230,0.028177
19400131,-0.035927
19400229,0.013139
19400330,0.013561
19400430,-0.004478
19400531,-0.231480
19400629,0.083035
19400731,0.033090
19400831,0.035421
19400930,0.014221
19401031,0.041468
19401130,-0.029431
19401231,0.002927
19410131,-0.045555
19410228,-0.004729
19410331,0.008872
19410430,-0.062152
19410531,0.013184
19410630,0.058851
19410731,0.057106
19410830,-0.001113
19410930,-0.007351
19411031,-0.064602
19411129,-0.024916
19411231,-0.038843
19420131,0.022276
19420228,-0.017647
19420331,-0.064068
19420430,-0.037988
19420529,0.070339
19420630,0.023544
19420731,0.036031
19420831,0.015346
19420930,0.032449
19421031,0.067867
19421130,-0.004392
19421231,0.057537
19430130,0.072434
19430227,0.058503
19430331,0.059404
19430430,0.003588
19430529,0.052698
19430630,0.021689
19430731,-0.053092
19430831,0.016232
19430930,0.027498
19431030,-0.011650
19431130,-0.067052
19431231,0.070305
19440131,0.018622
19440229,0.006479
19440331,0.021313
19440429,-0.012427
19440531,0.048841
19440630,0.054574
19440731,-0.019470
19440831,0.014700
19440930,-0.000692
19441031,0.002435
19441130,0.017327
19441230,0.044778
19450131,0.011901
19450228,0.069472
19450331,-0.041685
19450430,0.090524
19450531,0.020041
19450630,0.002380
19450731,-0.021539
19450831,0.059852
19450929,0.046361
19451031,0.030815
19451130,0.044950
19451231,0.011133
19460131,0.069504
19460228,-0.065171
19460330,0.049118
19460430,0.035748
19460531,0.028785
19460628,-0.035289
19460731,-0.027350
19460830,-0.068855
19460930,-0.104113
19461031,-0.005636
19461130,-0.003801
19461231,0.046818
19470131,0.022013
19470228,-0.008307
19470331,-0.015008
19470430,-0.039560
19470529,-0.000990
19470630,0.053991
19470731,0.039572
19470829,-0.023076
19470930,-0.009928
19471031,0.020578
19471129,-0.017633
19471231,0.030784
19480131,-0.037743
19480228,-0.040232
19480331,0.081440
19480430,0.030821
19480528,0.084014
19480630,0.007665
19480730,-0.052296
19480831,0.015539
19480930,-0.027016
19481030,0.070041
19481130,-0.098332
19481231,0.035952
19490131,0.002676
19490228,-0.031639
19490331,0.033981
19490430,-0.018691
19490531,-0.029423
19490630,0.001744
19490729,0.062732
19490831,0.021800
19490930,0.027415
19491031,0.029780
19491130,0.020738
19491231,0.050984
19500131,0.019703
19500228,0.019603
19500331,0.008185
19500429,0.045887
19500531,0.046902
19500630,-0.054224
19500731,0.016981
19500831,0.048063
19500929,0.059466
19501031,0.005084
19501130,0.022430
19501230,0.055425
19510131,0.065105
19510228,0.014546
19510331,-0.017484
19510430,0.049108
19510531,-0.029979
19510629,-0.025848
19510731,0.070935
19510831,0.050220
19510928,0.002868
19511031,-0.013321
19511130,0.011388
19511231,0.041815
19520131,0.017768
19520229,-0.025241
19520331,0.052805
19520430,-0.041423
19520529,0.033698
19520630,0.047832
19520731,0.019129
19520829,-0.005674
19520930,-0.018085
19521031,0.000320
19521128,0.061382
19521231,0.038215
19530130,-0.006207
19530227,-0.007540
19530331,-0.022288
19530430,-0.025308
19530529,0.007401
19530630,-0.014266
19530731,0.026314
19530831,-0.050101
19530930,0.002187
19531030,0.051046
19531130,0.023763
19531231,0.001713
19540129,0.053486
19540226,0.012916
19540331,0.030530
19540430,0.048358
19540528,0.042777
19540630,0.002467
19540730,0.058701
19540831,-0.025894
19540930,0.082500
19541029,-0.017867
19541130,0.095774
19541231,0.054288
19550131,0.018076
19550228,0.013526
19550331,-0.002242
19550429,0.039843
19550531,0.006433
19550630,0.081300
19550729,0.057646
19550831,-0.000648
19550930,0.011286
19551031,-0.030468
19551130,0.087825
19551230,-0.000309
19560131,-0.035057
19560229,0.041397
19560329,0.070328
19560430,-0.000637
19560531,-0.058414
19560629,0.038910
19560731,0.051427
19560831,-0.032788
19560928,-0.044022
19561031,0.006619
19561130,-0.001921
19561231,0.036284
19570131,-0.040238
19570228,-0.024919
19570329,0.023827
19570430,0.046538
19570531,0.038734
19570628,-0.000705
19570731,0.009747
19570830,-0.048998
19570930,-0.057879
19571031,-0.038834
19571129,0.023703
19571231,-0.037422
19580131,0.045518
19580228,-0.014109
19580331,0.033052
19580430,0.033511
19580529,0.021313
19580630,0.027998
19580731,0.043960
19580829,0.017999
19580930,0.050837
19581031,0.027370
19581128,0.028617
19581231,0.054112
19590130,0.006331
19590227,0.006711
19590331,0.003352
19590430,0.040054
19590529,0.023631
19590630,-0.000725
19590731,0.034504
19590831,-0.011076
19590930,-0.043182
19591030,0.012574
19591130,0.018486
19591231,0.029627
19600129,-0.069933
19600229,0.013922
19600331,-0.012566
19600429,-0.016113
19600531,0.033513
19600630,0.021802
19600729,-0.022948
19600831,0.031467
19600930,-0.058713
19601031,-0.001079
19601130,0.046081
19601230,0.048839
19610131,0.064320
19610228,0.032838
19610330,0.029345
19610428,0.004537
19610531,0.023553
19610630,-0.026673
19610731,0.033795
19610831,0.024730
19610929,-0.018674
19611031,0.028175
19611130,0.045226
19611229,0.004696
19620131,-0.037356
19620228,0.020592
19620330,-0.003842
19620430,-0.061743
19620531,-0.079847
19620629,-0.080669
19620731,0.065203
19620831,0.021669
19620928,-0.048816
19621031,0.008313
19621130,0.108268
19621231,0.015534
19630131,0.050367
19630228,-0.024189
19630329,0.036581
19630430,0.049070
19630531,0.019674
19630628,-0.018605
19630731,-0.001821
19630830,0.053466
19630930,-0.010402
19631031,0.034825
19631129,-0.004487
19631231,0.026065
19640131,0.027391
19640228,0.017015
19640331,0.017232
19640430,0.006192
19640528,0.016815
19640630,0.018084
19640731,0.018910
19640831,-0.011621
19640930,0.030399
19641030,0.008745
19641130,0.001598
19641231,0.005228
19650129,0.034791
19650226,0.003746
19650331,-0.012213
19650430,0.035612
19650528,-0.003122
19650630,-0.046880
19650730,0.014486
19650831,0.027560
19650930,0.033366
19651029,0.028812
19651130,-0.003821
19651231,0.010349
19660131,0.005705
19660228,-0.012750
19660331,-0.023041
19660429,0.022158
19660531,-0.049140
19660630,-0.014380
19660729,-0.012129
19660831,-0.071650
19660930,-0.006244
19661031,0.048333
19661130,0.011223
19661230,0.000326
19670131,0.079215
19670228,0.007514
19670331,0.041137
19670428,0.043371
19670531,-0.046810
19670630,0.019319
19670731,0.046454
19670831,-0.006824
19670929,0.033815
19671031,-0.027448
19671130,0.006435
19671229,0.027079
19680131,-0.041875
19680229,-0.026900
19680329,0.009696
19680430,0.084092
19680531,0.016374
19680628,0.009916
19680730,-0.017444
19680830,0.016415
19680930,0.039351
19681031,0.008587
19681129,0.053580
19681231,-0.040826
19690131,-0.007547
19690228,-0.042321
19690328,0.034847
19690430,0.022771
19690529,0.003854
19690630,-0.054357
19690731,-0.058632
19690829,0.045728
19690930,-0.023941
19691031,0.046900
19691128,-0.029152
19691231,-0.016922
19700130,-0.075398
19700227,0.059521
19700331,0.002806
19700430,-0.088831
19700529,-0.054689
19700630,-0.049032
19700731,0.075523
19700831,0.049778
19700930,0.034702
19701030,-0.009032
19701130,0.054387
19701231,0.058684
19710129,0.042828
19710226,0.013317
19710331,0.039068
19710430,0.036965
19710528,-0.037150
19710630,0.002439
19710730,-0.040827
19710831,0.042036
19710930,-0.005038
19711029,-0.040129
19711130,0.002898
19711231,0.087880
19720131,0.019088
19720229,0.030221
19720330,0.007315
19720428,0.005476
19720531,0.022019
19720630,-0.020156
19720731,0.003245
19720831,0.039425
19720929,-0.003277
19721031,0.010878
19721130,0.050297
19721229,0.013663
19730131,-0.016752
19730228,-0.033818
19730330,-0.001093
19730430,-0.040064
19730531,-0.013950
19730629,-0.005178
19730731,0.039128
19730831,-0.031544
19730928,0.042219
19731031,0.000312
19731130,-0.107220
19731231,0.017971
19740131,-0.008120
19740228,0.001992
19740329,-0.021818
19740430,-0.037649
19740531,-0.026896
19740628,-0.012816
19740731,-0.076698
19740830,-0.082177
19740930,-0.117511
19741031,0.168113
19741129,-0.045688
19741231,-0.018021
19750131,0.123610
19750228,0.067460
19750331,0.024014
19750430,0.049424
19750530,0.051193
19750630,0.046220
19750731,-0.065504
19750829,-0.015663
19750930,-0.032250
19751031,0.064855
19751128,0.030089
19751231,-0.010485
19760130,0.120143
19760227,-0.005756
19760331,0.032640
19760430,-0.009610
19760528,-0.008116
19760630,0.043959
19760730,-0.007202
19760831,0.001599
19760930,0.024421
19761029,-0.020211
19761130,-0.001041
19761231,0.053775
19770131,-0.049654
19770228,-0.015638
19770331,-0.012502
19770429,0.000641
19770531,-0.015064
19770630,0.047776
19770729,-0.015453
19770831,-0.012310
19770930,-0.000825
19771031,-0.041984
19771130,0.036752
19771230,0.005570
19780131,-0.060643
19780228,-0.016260
19780331,0.026925
19780428,0.088964
19780531,0.013719
19780630,-0.016578
19780731,0.056974
19780831,0.033641
19780929,-0.005163
19781031,-0.089570
19781130,0.026771
19781229,0.016627
19790131,0.042697
19790228,-0.028649
19790330,0.057361
19790430,0.004183
19790531,-0.016818
19790629,0.040324
19790731,0.012051
19790831,0.061865
19790928,0.001416
19791031,-0.065560
19791130,0.052777
19791231,0.018340
19800131,0.061308
19800229,0.002611
19800331,-0.097518
19800430,0.042394
19800530,0.055560
19800630,0.029722
19800731,0.068200
19800829,0.013454
19800930,0.027935
19801031,0.017809
19801128,0.109910
19801231,-0.030634
19810130,-0.043370
19810227,0.021267
19810331,0.038285
19810430,-0.020211
19810529,0.006539
19810630,-0.008255
19810731,0.000714
19810831,-0.055540
19810930,-0.050466
19811030,0.052115
19811130,0.043827
19811231,-0.027059
19820129,-0.015367
19820226,-0.050441
19820331,-0.006805
19820430,0.041550
19820528,-0.029505
19820630,-0.015779
19820730,-0.020199
19820831,0.127402
19820930,0.010496
19821029,0.113863
19821130,0.045754
19821231,0.016835
19830131,0.035293
19830228,0.025733
19830331,0.035470
19830429,0.075719
19830531,-0.005687
19830630,0.036970
19830729,-0.031238
19830831,0.015864
19830930,0.014105
19831031,-0.013108
19831130,0.023846
19831230,-0.005749
19840131,-0.003898
19840229,-0.034034
19840330,0.017295
19840430,0.006781
19840531,-0.053131
19840629,0.022937
19840731,-0.013765
19840831,0.112438
19840928,-0.000064
19841031,0.003331
19841130,-0.009841
19841231,0.025556
19850131,0.076868
19850228,0.014166
19850329,-0.000636
19850430,-0.003704
19850531,0.062740
19850628,0.016065
19850731,-0.003321
19850830,-0.006473
19850930,-0.033248
19851031,0.045079
19851129,0.071887
19851231,0.048156
19860131,0.004706
19860228,0.076525
19860331,0.055832
19860430,-0.013348
19860530,0.055326
19860630,0.015744
19860731,-0.057541
19860829,0.074417
19860930,-0.083243
19861031,0.056538
19861128,0.024876
19861231,-0.027513
19870130,0.135183
19870227,0.041778
19870331,0.026336
19870430,-0.009045
19870529,0.009128
19870630,0.050140
19870731,0.049843
19870831,0.039108
19870930,-0.021940
19871030,-0.215795
19871130,-0.081874
19871231,0.073922
19880129,0.042712
19880229,0.047445
19880331,-0.030847
19880429,0.010516
19880531,0.008012
19880630,0.047676
19880729,-0.004458
19880831,-0.032488
19880930,0.042739
19881031,0.026891
19881130,-0.014355
19881230,0.018553
19890131,0.072303
19890228,-0.025031
19890331,0.023038
19890428,0.051707
19890531,0.041022
19890630,-0.005611
19890731,0.090053
19890831,0.019853
19890929,-0.004004
19891031,-0.023639
19891130,0.020479
19891229,0.022657
19900131,-0.067661
19900228,0.013381
19900330,0.026588
19900430,-0.024504
19900531,0.097419
19900629,-0.006754
19900731,-0.004454
19900831,-0.090801
19900928,-0.048959
19901031,-0.003597
19901130,0.064561
19901231,0.027987
19910131,0.045001
19910228,0.071565
19910328,0.024354
19910430,0.002268
19910531,0.042930
19910628,-0.045357
19910731,0.046526
19910830,0.023885
19910930,-0.016861
19911031,0.013458
19911129,-0.040214
19911231,0.114089
19920131,-0.018348
19920228,0.012865
19920331,-0.019470
19920430,0.028614
19920529,0.004850
19920630,-0.015030
19920731,0.040924
19920831,-0.020615
19920930,0.011340
19921030,0.004796
19921130,0.033794
19921231,0.013380
19930129,0.007282
19930226,0.013526
19930331,0.021202
19930430,-0.024519
19930528,0.026259
19930630,0.003466
19930730,-0.004593
19930831,0.037431
19930930,-0.007582
19931029,0.019884
19931130,-0.008655
19931231,0.012646
19940131,0.033429
19940228,-0.027161
19940331,-0.043456
19940429,0.012817
19940531,0.016309
19940630,-0.024762
19940729,0.032714
19940831,0.041341
19940930,-0.023940
19941031,0.022619
19941130,-0.036248
19941230,0.014955
19950131,0.026000
19950228,0.039228
19950331,0.029334
19950428,0.029395
19950531,0.039809
19950630,0.024155
19950731,0.033405
19950831,0.003495
19950929,0.042102
19951031,-0.003442
19951130,0.044179
19951229,0.017643
19960131,0.034861
19960229,0.010088
19960329,0.009585
19960430,0.015133
19960531,0.025257
19960628,0.004128
19960731,-0.044441
19960830,0.021928
19960930,0.056035
19961031,0.026798
19961129,0.076455
19961231,-0.019815
19970131,0.062779
19970228,0.007752
19970331,-0.041653
19970430,0.060274
19970530,0.061401
19970630,0.044103
19970731,0.080388
19970829,-0.054970
19970930,0.053886
19971031,-0.032605
19971128,0.046321
19971231,0.017147
19980130,0.011994
19980227,0.071956
19980331,0.051336
19980430,0.011275
19980529,-0.017674
19980630,0.040970
19980731,-0.010109
19980831,-0.143124
19980930,0.063176
19981030,0.080111
19981130,0.062164
19981231,0.059673
19990129,0.042800
19990226,-0.031935
19990331,0.038979
19990430,0.037559
19990528,-0.023159
19990630,0.054431
19990730,-0.030220
19990831,-0.004989
19990930,-0.028079
19991029,0.064238
19991130,0.020822
19991231,0.062579
20000131,-0.049630
20000229,-0.017458
20000331,0.098488
20000428,-0.031585
20000531,-0.022304
20000630,0.026219
20000731,-0.012795
20000831,0.062594
20000929,-0.052088
20001031,-0.004120
20001130,-0.078268
20001229,0.005720
20010131,0.032375
20010228,-0.090952
20010330,-0.063706
20010430,0.077825
20010531,0.006870
20010629,-0.024506
20010731,-0.009317
20010831,-0.063435
20010928,-0.080361
20011031,0.019540
20011130,0.078787
20011231,0.009051
20020131,-0.014324
20020228,-0.019481
20020328,0.037572
20020430,-0.061001
20020531,-0.007800
20020628,-0.071349
20020731,-0.073987
20020830,0.007061
20020930,-0.108965
20021031,0.088599
20021129,0.059019
20021231,-0.058834
20030131,-0.026579
20030228,-0.015246
20030331,0.010308
20030430,0.082774
20030530,0.053251
20030630,0.012816
20030731,0.017932
20030829,0.019597
20030930,-0.010737
20031031,0.055560
20031128,0.009259
20031231,0.051780
20040130,0.019078
20040227,0.014403
20040331,-0.014982
20040430,-0.015584
20040528,0.013629
20040630,0.019488
20040730,-0.032954
20040831,0.003807
20040930,0.010817
20041029,0.014973
20041130,0.040559
20041231,0.033734
20050131,-0.023824
20050228,0.021152
20050331,-0.017240
20050429,-0.018926
20050531,0.031994
20050630,0.001717
20050729,0.037364
20050831,-0.009159
20050930,0.008067
20051031,-0.015672
20051130,0.038289
20051230,-0.000060
20060131,0.026442
20060228,0.002425
20060331,0.012909
20060428,0.012064
20060531,-0.028319
20060630,0.001587
20060731,0.005571
20060831,0.024150
20060929,0.026487
20061031,0.032527
20061130,0.018385
20061229,0.013768
20070131,0.015313
20070228,-0.019288
20070330,0.010894
20070430,0.043991
20070531,0.034459
20070629,-0.016620
20070731,-0.031197
20070831,0.015094
20070928,0.037468
20071031,0.017360
20071130,-0.041382
20071231,-0.006116
20080131,-0.061166
20080229,-0.031419
20080331,-0.003400
20080430,0.048629
20080530,0.012986
20080630,-0.082842
20080731,-0.007306
20080829,0.014955
20080930,-0.085467
20081031,-0.166980
20081128,-0.073512
20081231,0.011995
20090130,-0.082615
20090227,-0.103588
20090331,0.087634
20090430,0.094230
20090529,0.054640
20090630,0.002476
20090731,0.074482
20090831,0.034751
20090930,0.036534
20091030,-0.018259
20091130,0.060257
20091231,0.018983
20100129,-0.035751
20100226,0.030424
20100331,0.061014
20100430,0.015977
20100528,-0.080111
20100630,-0.053525
20100730,0.070451
20100831,-0.045434
20100930,0.090383
20101029,0.038726
20101130,-0.000051
20101231,0.067054
20110131,0.023349
20110228,0.032508
20110331,0.000625
20110429,0.029441
20110531,-0.011313
20110630,-0.016545
20110729,-0.019828
20110831,-0.054323
20110930,-0.070238
20111031,0.109014
20111130,-0.002727
20111230,0.009427
20120131,0.045205
20120229,0.043341
20120330,0.032866
20120430,-0.006034
20120531,-0.059790
20120629,0.041465
20120731,0.014363
20120831,0.022744
20120928,0.025120
20121031,-0.017837
20121130,0.005326
20121231,0.008508
20130131,0.052361
20130228,0.013013
20130328,0.037584
20130430,0.019621
20130531,0.023120
20130628,-0.013601
20130731,0.050672
20130830,-0.029207
20130930,0.031660
20131031,0.046268
20131129,0.030817
20131231,0.025950
20140131,-0.034666
20140228,0.045757
20140331,0.008056
20140430,0.006555
20140530,0.023309
20140630,0.020635
20140731,-0.013974
20140829,0.039777
20140930,-0.013928
20141031,0.023972
20141128,0.027631
20141231,-0.002473
20150130,-0.029430
20150227,0.057008
20150331,-0.014993
20150430,0.009101
20150529,0.012522
20150630,-0.019343
20150731,0.021297
20150831,-0.060086
20150930,-0.024547
20151030,0.083449
20151130,0.003373
20151231,-0.015247
20160129,-0.049100
20160229,-0.001742
20160331,0.067340
20160429,0.003747
20160531,0.018487
20160630,0.002675
20160729,0.036571
20160831,0.001247
20160930,0.000446
20161031,-0.017958
20161130,0.035790
20161230,0.019200
20170131,0.019384
20170228,0.039459
20170331,0.001664
20170428,0.010591
20170531,0.014552
20170630,0.005798
20170731,0.020696
20170831,0.002238
20170929,0.020050
20171031,0.024158
20171130,0.031389
20171229,0.011149
20180131,0.058060
20180228,-0.037661
20180329,-0.025459
20180430,0.003770
20180531,0.023800
20180629,0.006840
20180731,0.037144
20180831,0.032938
20180928,0.005138
20181031,-0.068409
20181130,0.019752
20181231,-0.090646
20190131,0.081409
20190228,0.031708
20190329,0.019531
20190430,0.040629
20190531,-0.063187
20190628,0.069561
20190731,0.014603
20190830,-0.016085
20190930,0.018791
20191031,0.021621
20191129,0.036206
20191231,0.029787
20200131,0.000108
20200228,-0.081872
20200331,-0.121997
20200430,0.128894
20200529,0.047818
20200630,0.020348
20200731,0.056910
20200831,0.072068
20200930,-0.038151
20201030,-0.026409
20201130,0.109403
20201231,0.041573
20210129,-0.0101
20210226,0.0276
20210331,0.0438
20210430,0.0534
20210528,0.0070
20210630,0.0233
20210730,0.0238
20210831,0.0304
20210930,-0.0465
20211029,0.0701
20211130,-0.0069
20211231,0.0448