,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
53831,10,21,172,217,8,7,123,93,93,79
30365,1,6,28,64,8,4,43,20,20,8
16360,2,9,58,82,7,4,44,38,37,20
59205,2,9,60,76,6,4,41,34,34,26
55685,0,2,10,26,9,2,17,8,8,2
45065,2,4,39,53,11,5,30,22,22,17
58990,11,17,167,188,7,5,97,91,91,75
41427,1,9,57,74,6,4,40,33,33,24
43772,10,25,184,253,6,6,135,117,117,67
43123,14,22,219,222,6,8,108,114,114,104
26542,5,12,95,123,11,5,74,49,48,46
32475,3,11,66,113,8,5,71,41,41,25
26307,0,0,3,8,5,1,4,3,3,0
51561,5,4,50,71,8,5,44,27,26,23
26390,3,6,55,70,5,5,37,33,33,21
52337,16,20,202,244,11,6,140,104,103,98
46754,6,3,57,71,7,5,39,32,32,24
48653,12,26,196,274,11,7,161,112,112,83
19051,3,16,101,143,7,5,82,60,60,41
22250,8,7,88,104,7,5,59,45,44,43
43553,12,29,198,302,9,7,176,125,125,73
52564,2,3,34,42,5,5,22,19,19,15
44652,5,14,103,136,10,6,77,58,58,45
25216,2,3,32,36,7,4,20,15,15,17
36505,1,4,29,45,7,3,25,19,20,9
19502,12,29,223,272,7,5,145,127,126,96
48506,8,33,182,311,12,5,193,117,117,65
26382,9,12,135,152,7,8,83,67,68,67
66800,12,28,207,284,11,6,174,110,110,96
26681,6,8,80,107,12,5,62,44,44,36
61890,3,2,37,40,5,8,22,17,17,20
61794,3,2,33,35,5,4,15,19,19,14
65816,7,4,75,69,5,5,32,36,37,38
61970,0,7,33,65,11,5,41,24,23,9
60506,9,31,203,280,10,6,168,111,112,91
43132,1,2,15,25,7,4,14,10,10,5
58640,7,14,117,143,9,8,81,61,62,55
60628,13,27,214,268,8,8,154,113,114,100
34147,11,3,92,84,6,8,38,45,46,46
62148,13,27,199,282,8,7,160,121,121,78
17340,3,5,51,47,7,6,26,20,20,31
60572,2,1,21,26,6,4,13,12,12,9
45671,8,16,133,167,8,8,94,72,73,60
44644,5,34,194,285,9,7,163,121,121,73
59811,1,1,18,18,5,5,9,8,8,10
52695,9,30,213,263,6,7,146,116,117,96
41523,3,1,30,27,7,4,14,12,13,17
40125,15,21,192,268,10,5,148,118,118,74
57592,10,7,103,117,7,9,62,55,54,48
52070,0,2,16,24,7,4,16,8,7,8
59707,7,2,60,58,6,6,31,27,26,33
34032,14,25,206,269,8,6,144,125,124,81
63255,0,3,15,34,8,2,22,12,11,3
57381,5,11,79,124,6,4,70,54,53,25
40838,6,13,93,144,14,7,89,54,54,39
22840,8,22,160,209,7,6,114,94,95,65
58464,2,0,23,14,2,9,4,9,10,13
21450,2,3,32,36,5,4,19,16,16,16
28433,3,2,32,31,5,4,15,16,15,16
58085,4,2,42,32,5,5,15,17,16,25
16088,1,2,24,28,5,3,14,14,14,9
63060,9,16,146,172,9,7,95,76,76,70
45970,4,8,67,98,7,4,57,41,41,25
52919,9,17,145,176,9,7,106,69,70,75
17137,6,6,68,95,7,6,59,35,36,32
64186,8,30,192,272,13,6,163,109,109,82
50404,5,10,88,107,7,8,60,46,47,41
39394,1,2,15,39,9,4,29,9,10,5
15712,0,3,13,40,12,4,31,8,8,5
64311,8,30,195,267,9,9,148,119,118,76
55976,9,29,186,275,9,7,159,115,116,70
27749,6,2,54,57,6,7,29,27,28,26
46615,3,2,34,37,4,6,21,15,15,19
60206,8,30,194,266,9,7,150,116,116,77
23990,6,20,133,186,11,5,105,80,80,53
43318,1,3,24,33,5,3,16,16,16,8
43350,8,30,192,268,9,6,152,115,116,76
29946,10,28,190,269,10,6,161,107,108,82
36978,7,8,95,98,7,6,51,46,46,49
39140,1,5,28,50,7,3,31,18,18,10
14593,13,25,200,258,10,5,150,107,107,93
46594,3,11,76,99,6,5,56,42,42,34
34833,12,26,194,263,9,5,147,115,115,79
27633,13,21,188,226,7,7,125,100,101,87
64629,9,10,120,127,7,5,70,57,57,62
56186,0,0,7,12,3,2,5,6,6,1
55212,4,7,74,75,8,6,41,34,34,39
35211,4,10,86,103,14,8,59,43,43,43
64936,9,28,160,290,9,6,179,110,111,49
62834,9,13,117,158,10,5,84,74,73,43
61065,6,15,117,145,7,6,79,66,65,51
56274,11,26,184,264,9,6,153,110,111,73
64282,14,23,197,251,9,6,150,100,101,96
17278,7,3,71,60,4,6,24,36,35,35
63108,3,2,34,33,7,5,19,14,13,20
66069,3,7,53,86,13,5,52,33,34,19
55351,0,2,21,25,4,4,13,12,11,9
60900,1,2,22,25,4,4,12,12,12,10
61399,9,27,184,258,8,6,157,100,100,84
65883,9,13,111,163,13,4,96,66,66,45
74617,5,7,75,87,6,5,48,39,38,36
66093,10,26,192,250,13,6,136,114,113,78
65859,0,14,69,118,9,3,69,49,48,20
66018,3,9,56,105,9,4,67,37,38,18
66026,2,10,57,100,12,3,61,38,39,18
66122,2,13,70,126,13,5,79,46,46,24
65875,10,26,188,254,13,6,144,109,110,78
52062,0,1,14,18,5,3,10,8,7,6
54148,14,22,195,246,8,9,147,99,99,95
64207,3,1,31,33,4,4,16,16,17,14
61241,18,13,195,202,11,7,108,93,94,100
25507,1,0,13,11,4,4,6,5,5,7
38682,11,16,149,192,8,5,107,84,85,64
58596,1,3,27,37,5,7,22,14,14,13
30067,6,7,85,83,7,6,39,43,43,42
52978,11,25,183,253,8,6,141,112,111,71
61284,3,10,59,100,9,5,63,36,36,23
70229,5,10,84,104,8,5,56,48,47,36
49905,7,16,129,161,10,4,91,69,70,59
24715,9,1,59,66,12,5,35,30,30,29
58093,1,1,13,17,4,3,9,8,7,5
57568,9,27,165,270,15,5,170,99,100,65
25769,7,14,119,143,6,5,76,67,66,52
14323,8,13,122,141,6,5,74,66,66,56
44792,8,4,79,73,7,9,35,38,37,41
47490,8,7,91,102,9,8,58,43,43,48
47466,10,15,154,159,7,7,74,85,84,69
50032,4,17,112,147,8,6,91,55,55,57
60337,2,2,27,29,5,4,14,14,15,12
70376,6,5,63,81,7,6,50,30,31,32
45495,9,19,156,199,9,9,109,89,90,66
44951,12,14,145,183,8,6,105,77,77,68
25160,1,3,27,34,5,3,15,18,18,9
34817,13,22,185,244,10,6,133,110,111,74
28222,7,28,173,256,8,6,147,108,109,64
42200,13,22,182,246,10,5,143,102,102,80
38893,5,10,70,118,7,4,71,47,46,23
62164,6,4,69,61,6,5,31,29,29,40
64020,5,6,65,75,6,4,35,39,40,25
24766,9,26,169,258,14,5,152,105,105,64
21792,10,25,177,249,8,5,143,106,106,70
49606,0,4,14,41,12,2,29,11,11,3
75030,3,10,69,94,8,4,53,40,41,28
40539,8,27,171,253,12,8,156,97,96,74
54754,2,0,13,22,5,2,12,10,9,3
37102,2,6,46,59,5,9,33,25,25,21
33785,2,8,55,72,8,5,42,30,29,25
64064,4,3,44,53,4,5,28,25,25,18
25953,11,24,174,249,9,7,148,100,100,74
58480,4,6,62,72,9,9,44,28,28,33
41355,11,24,174,248,7,5,138,109,109,65
64477,4,5,48,65,8,5,39,25,26,22
43342,2,7,52,62,3,4,27,34,34,18
53612,7,8,90,98,7,6,48,49,50,40
57234,1,0,9,15,4,2,6,8,8,1
42999,0,0,2,6,4,2,4,1,1,1
63802,0,2,15,25,6,4,15,9,9,6
90721,6,2,51,61,6,5,32,28,28,23
65787,7,13,119,144,6,5,73,71,70,48
56573,7,27,178,241,7,6,131,109,110,68
61743,5,12,92,132,13,5,83,48,48,44
69024,1,1,15,18,3,4,8,10,9,5
42462,0,0,1,2,2,1,1,0,1,0
26518,9,11,108,149,10,4,84,64,64,44
42534,10,19,151,213,7,5,122,90,91,60
61583,5,8,82,92,6,6,51,41,40,41
26884,4,8,67,87,7,6,43,43,43,24
59926,1,10,62,85,7,3,45,39,40,22
47992,4,6,62,76,8,5,40,35,35,27
38280,2,1,23,24,4,8,12,12,11,11
54447,2,1,26,24,4,6,12,12,12,13
59010,13,21,187,226,8,9,128,97,98,89
57817,13,20,180,226,7,6,126,99,100,80
50156,4,4,50,56,4,4,28,28,27,22
49429,9,12,128,136,6,5,71,64,65,63
60097,10,24,170,241,12,7,138,102,102,68
37065,0,0,5,7,5,2,4,2,3,2
60046,5,5,62,69,4,4,31,37,37,25
49373,12,21,179,227,11,5,120,106,106,73
22066,6,8,75,105,10,5,63,42,42,32
51625,4,9,67,92,9,8,51,40,41,26
66114,7,13,118,134,4,5,68,65,66,52
28847,8,7,95,90,6,6,46,44,44,50
52038,7,27,167,242,16,7,144,97,97,70
91380,7,11,101,128,9,8,74,53,53,48
22753,5,5,71,63,7,10,30,32,32,39
42550,2,4,37,48,5,4,22,25,25,12
50737,0,0,3,9,4,1,5,3,3,0
50024,1,9,49,90,7,4,59,30,30,19
15077,5,16,105,156,10,8,97,58,58,47
56450,2,8,51,87,7,3,49,37,37,14
10623,0,0,7,5,4,5,3,2,1,5
46544,0,1,16,12,4,9,6,6,5,10
75034,12,21,183,221,8,8,121,99,99,84
53401,5,3,48,64,7,4,34,29,29,19
25778,12,18,175,201,8,7,110,90,90,85
71765,2,7,44,74,9,7,48,25,25,19
62324,5,6,69,72,5,6,37,35,34,34
32205,4,6,57,74,5,4,40,33,34,23
45751,11,22,163,238,9,6,135,102,102,61
75181,9,5,79,99,8,6,48,50,51,28
43298,0,0,2,6,4,1,3,2,2,0
25022,2,3,37,37,5,8,19,18,18,18
65066,5,5,58,68,6,4,38,30,29,28
47271,6,3,61,59,4,5,28,30,31,30
35051,7,20,139,193,7,5,104,88,88,51
34841,2,6,50,54,6,4,26,27,27,23
42753,0,2,11,21,4,2,11,9,9,2
44601,8,25,159,238,11,4,141,96,96,63
48514,4,7,67,81,8,5,40,40,41,26
32707,9,10,120,144,8,7,86,57,57,62
68347,4,9,76,95,8,8,55,39,40,36
66181,7,25,165,229,14,7,139,89,90,75
65138,5,10,92,103,7,5,53,50,49,42
62252,1,8,50,78,6,4,45,32,32,18
60839,1,2,22,26,5,6,14,11,11,11
60442,11,21,161,232,8,5,127,104,104,57
47837,0,0,6,9,3,2,4,5,4,1
68144,8,22,156,223,12,8,126,96,96,60
70519,11,21,163,229,7,7,131,97,97,66
39300,0,1,10,14,3,2,7,6,6,4
53479,6,11,80,140,11,5,90,49,49,31
52505,2,5,37,54,8,5,33,20,20,17
64346,5,5,69,65,6,7,32,32,32,37
54181,7,14,107,157,10,7,104,53,52,54
83601,6,9,96,101,4,6,42,58,58,38
51043,7,12,105,136,8,5,78,58,58,46
63845,5,3,48,51,5,6,30,21,20,27
47159,3,12,81,104,7,5,59,44,44,37
57665,6,26,150,236,12,5,147,89,88,61
75423,6,4,65,58,5,7,31,27,27,37
30912,0,1,12,10,3,5,4,5,6,6
71889,0,1,11,10,3,3,4,5,6,5
29196,5,2,46,57,8,6,33,23,23,23
70578,4,27,156,228,8,4,131,96,97,59
89392,3,6,57,72,7,4,37,35,34,22
36469,6,13,104,135,7,9,72,62,63,41
47028,4,1,37,34,4,4,15,19,19,17
70092,8,11,113,136,7,6,82,54,54,58
42833,3,6,57,71,6,4,35,35,35,22
71001,1,5,29,56,15,4,39,16,17,12
60986,10,21,174,207,10,9,114,92,93,81
62308,12,19,151,230,8,5,141,88,88,63
82705,1,1,20,22,6,3,9,12,13,7
47175,6,12,98,128,7,8,75,52,53,45
41081,2,3,37,41,7,11,26,15,14,22
45356,10,19,146,215,9,6,128,86,86,59
42104,5,5,60,70,5,4,31,38,38,22
10104,9,22,150,227,7,5,134,92,92,58
48274,5,16,107,161,6,4,91,69,70,37
23114,4,18,112,163,8,6,97,65,65,47
24272,6,12,111,120,7,5,62,57,58,53
75647,2,7,48,70,10,7,38,31,32,16
87127,5,4,62,60,4,5,29,30,30,32
19721,2,4,31,53,8,3,32,20,20,11
32563,4,5,60,57,5,5,27,29,30,30
68049,5,2,43,45,5,5,24,20,21,22
50905,4,4,44,58,6,4,29,28,28,16
13056,4,10,68,107,8,4,58,49,49,18
27764,4,3,47,47,5,5,20,26,26,21
68591,9,18,149,176,7,6,97,79,78,70
85631,10,21,152,221,9,5,129,91,91,61
76090,5,12,89,125,10,6,80,44,44,45
41179,4,4,51,62,5,5,33,28,29,22
65568,6,1,47,47,6,6,21,25,25,22
27430,8,7,91,103,5,6,55,48,48,42
55079,2,2,31,35,5,7,19,15,16,15
35238,4,5,57,59,7,6,28,31,31,25
18092,6,10,84,119,8,6,65,54,53,30
46288,1,1,22,15,3,6,6,9,9,12
78968,2,4,30,52,12,4,33,19,18,11
76285,0,1,6,9,3,1,3,6,5,0
27263,1,6,32,56,9,3,32,23,23,9
64856,4,6,51,75,9,3,44,30,30,21
76122,3,3,33,46,6,4,26,20,20,12
27087,0,2,21,23,5,4,13,10,10,10
18551,1,4,28,43,8,5,25,17,18,10
58472,1,1,18,15,2,4,5,9,10,8
76608,1,2,20,25,4,7,13,11,11,9
19589,2,1,29,22,4,9,12,10,9,19
76644,9,13,136,141,8,9,70,71,70,65
90609,12,7,130,103,7,6,41,62,61,68
32379,7,6,87,77,5,6,30,46,47,40
75789,5,10,91,109,7,6,58,51,51,39
14008,11,17,148,200,10,5,115,85,84,63
75646,5,17,109,168,7,4,102,65,65,44
76557,3,10,63,102,7,4,60,42,41,21
79250,3,2,37,38,4,5,16,22,21,15
76070,2,2,26,34,6,4,20,13,13,13
10078,7,10,101,108,7,7,61,46,46,55
77768,5,20,123,191,7,6,110,80,80,43
53065,10,18,155,184,9,5,92,91,91,64
79041,0,0,1,4,4,1,3,1,0,0
11626,0,0,7,7,4,4,4,2,2,5
78946,1,2,20,27,5,3,13,14,13,6
76171,4,8,68,90,7,5,49,40,40,28
63096,2,3,23,49,9,4,30,18,18,5
87055,4,23,131,196,6,5,116,80,80,50
50200,3,4,40,55,6,4,31,24,24,15
71298,5,3,50,54,7,6,25,29,29,20
75333,5,7,65,84,8,7,46,38,37,27
79764,1,3,23,31,5,5,16,15,15,7
11997,4,4,52,55,8,5,27,27,27,25
76076,10,17,132,193,10,7,110,82,82,50
10791,4,1,35,42,11,4,25,16,17,18
80080,10,16,146,177,8,6,95,82,81,64
64995,10,16,145,177,6,7,95,82,81,63
71175,10,16,142,180,7,5,95,85,84,57
79119,0,1,8,19,8,2,12,7,6,1
80094,2,2,21,41,10,3,25,15,15,6
80410,0,3,19,33,5,3,21,11,12,7
10107,6,20,126,193,8,6,114,79,78,47
58683,9,17,146,172,17,7,99,72,72,74
92655,4,22,113,205,7,5,130,74,74,39
56232,5,9,85,87,5,10,43,43,44,41
53613,12,14,144,172,12,7,96,76,75,68
77546,2,10,66,90,5,6,48,41,41,25
70536,3,17,97,157,10,7,92,64,64,33
76226,14,12,145,171,9,6,96,74,74,71
80694,1,1,17,14,3,6,6,8,8,8
41443,3,9,61,94,9,4,55,38,38,23
77605,11,14,140,171,8,8,97,73,73,67
14702,9,16,145,165,8,7,84,80,80,65
81193,1,3,25,38,4,4,22,15,16,9
49656,7,18,137,173,6,8,88,85,84,52
76512,1,2,24,32,4,5,19,12,12,12
75625,4,1,39,36,4,4,16,19,20,19
26710,9,16,135,173,8,6,95,77,77,58
71984,2,1,30,23,7,8,12,10,11,19
25487,4,6,64,71,8,5,37,34,34,29
81655,3,22,124,183,9,5,102,81,80,43
79323,10,15,133,173,9,5,96,76,76,57
75257,6,9,91,106,7,8,57,49,49,41
53938,1,3,18,36,6,5,24,11,11,7
81774,10,15,140,165,9,6,91,74,73,66
82959,1,5,36,42,5,4,21,20,20,16
69032,9,16,127,177,8,7,106,70,70,57
66157,10,15,123,180,8,5,103,76,76,47
22517,8,17,119,183,7,4,110,72,72,47
48267,11,7,105,116,10,7,63,53,52,52
25081,10,15,129,172,8,6,101,70,70,59
82309,1,1,13,17,8,6,10,6,7,6
82647,2,2,21,31,5,4,17,13,13,8
77462,7,17,135,157,9,10,91,66,66,68
82776,0,1,9,16,5,4,10,5,6,3
82775,8,16,126,174,10,6,103,70,70,56
76129,1,2,25,29,7,5,17,12,11,13
80678,1,1,23,23,5,6,13,9,9,14
76754,0,1,15,15,6,3,8,7,6,8
10147,7,12,111,135,7,5,72,63,62,48
67571,1,0,13,15,5,4,8,6,6,7
34746,9,15,139,159,9,8,84,74,74,65
77644,0,3,17,28,6,3,18,9,9,8
61735,7,17,116,181,9,6,109,71,71,45
11042,1,4,39,34,7,6,17,16,17,22
83462,4,3,43,50,6,7,27,23,22,20
85869,2,0,24,13,3,6,3,9,10,14
76804,6,5,69,78,7,7,43,34,35,34
78788,0,0,9,7,2,2,2,5,5,3
69607,1,2,22,29,5,5,16,13,12,9
11081,8,8,102,103,6,7,51,51,51,51
83332,4,5,57,65,5,6,35,29,29,28
82308,2,1,24,21,3,6,12,9,9,14
83988,0,1,6,11,6,2,6,4,5,1
84020,6,7,76,82,6,5,40,42,41,34
75175,6,6,77,79,7,9,41,37,38,39
81126,4,5,41,71,10,5,46,24,24,17
76605,5,18,120,168,6,6,94,74,73,46
84375,1,0,22,12,5,6,7,5,5,16
86976,4,0,36,30,3,6,12,17,18,18
84381,5,18,114,174,10,6,101,72,73,41
10693,4,1,36,38,5,5,18,19,20,16
62092,8,15,118,170,12,7,108,62,61,56
75912,4,5,58,59,4,7,30,28,29,29
75510,5,18,105,179,9,6,114,64,64,41
21371,10,13,121,163,11,6,92,70,71,50
52476,6,17,113,170,9,9,104,65,65,48
64565,4,6,66,67,5,10,34,32,33,33
75186,6,17,132,151,8,7,83,68,67,64
39490,11,12,133,149,8,6,75,73,73,60
85073,1,6,35,64,9,5,43,20,21,14
70332,8,13,122,143,7,6,72,70,70,52
81593,4,6,60,74,8,7,39,34,35,25
77157,6,2,74,61,7,7,28,32,33,40
60441,1,1,15,19,4,4,9,9,9,6
42906,10,13,119,162,7,8,94,67,67,52
72726,8,15,123,158,8,6,86,72,71,51
64390,5,18,116,165,10,5,93,72,71,44
46886,6,17,125,155,7,6,85,70,69,55
24046,5,5,56,74,7,9,43,31,30,25
40484,0,1,6,9,6,2,5,3,3,3
85348,5,18,114,164,7,5,93,70,70,44
20053,5,5,53,69,10,4,40,28,29,24
30681,8,15,128,149,9,10,76,72,72,56
23473,7,16,119,158,6,8,94,63,63,56
71563,9,14,121,156,6,5,84,71,71,50
80599,3,6,53,75,10,4,45,29,30,23
58246,6,16,125,151,8,9,80,71,70,54
67467,8,6,87,94,8,7,53,41,40,46
51588,1,1,19,19,4,4,10,9,9,9
52821,0,0,9,10,4,2,3,6,6,3
79973,4,3,55,45,6,5,18,26,27,28
37584,8,14,120,153,10,6,89,63,63,57
77284,2,4,36,52,10,6,32,20,19,16
83440,1,0,14,18,4,4,11,7,7,6
85913,8,14,126,146,10,7,82,63,63,63
85926,7,15,125,147,7,8,75,72,71,53
85908,1,0,23,8,4,7,4,4,4,18
80506,0,0,4,8,5,2,5,2,3,1
76563,0,0,5,5,3,2,2,2,3,2
81055,9,13,120,150,8,5,79,71,70,49
11955,4,18,113,157,9,6,93,63,64,49
86136,5,17,101,169,11,4,104,65,64,36
88388,0,1,11,12,3,2,4,7,8,3
68304,1,8,55,64,6,4,34,30,30,24
66325,4,11,82,108,6,7,59,49,48,33
30382,5,3,55,53,5,5,23,29,29,26
35044,8,14,109,160,8,5,100,60,59,49
64531,0,0,5,6,3,3,3,3,2,2
83596,4,5,56,64,5,8,38,26,25,30
77606,9,12,127,138,6,10,65,73,72,54
76597,1,0,10,17,10,8,13,3,3,7
77063,2,6,53,57,6,6,33,23,23,30
78083,1,4,36,38,5,4,20,18,17,18
78263,3,2,33,36,7,5,20,16,16,16
75489,9,9,106,121,6,4,51,69,69,37
76712,10,12,125,142,7,8,85,56,56,69
61621,6,16,112,155,9,6,92,63,62,49
70500,5,12,88,123,11,5,70,52,52,36
11976,4,10,83,96,7,6,49,47,46,36
76149,10,6,86,108,8,6,63,44,44,42
75857,6,2,52,54,6,5,28,25,25,27
86414,2,3,27,37,5,5,20,16,16,11
75154,11,11,118,147,14,5,81,65,65,53
77418,8,10,108,125,10,10,73,51,52,56
78139,5,7,78,78,6,7,40,38,37,40
81061,7,14,123,141,6,7,80,61,61,61
36127,0,1,14,11,3,3,4,7,6,7
71686,0,4,26,42,7,4,25,17,16,9
60599,12,9,125,137,6,8,68,68,69,56
62770,1,5,41,51,6,4,27,24,23,17
78916,9,11,114,139,12,6,79,60,59,54
86591,3,2,40,37,5,5,15,21,22,18
57904,5,16,112,148,8,5,86,62,61,50
54463,0,0,10,7,4,4,3,4,3,6
75573,4,6,67,71,7,7,39,31,32,35
82598,8,13,116,143,10,5,77,65,65,51
83583,0,4,30,36,6,4,13,22,22,8
85914,9,12,123,136,7,6,71,64,65,58
15202,7,14,117,141,7,6,77,64,63,53
77178,7,14,111,147,8,5,75,71,71,40
50906,5,2,49,46,6,9,25,21,20,28
76887,5,3,56,56,6,7,31,25,24,31
82643,6,6,81,77,5,8,38,38,38,43
86326,1,0,14,11,5,4,6,4,5,9
61663,0,1,8,16,4,3,10,6,5,2
87029,0,2,19,17,3,5,5,11,11,8
77659,8,9,100,113,6,4,55,58,58,41
10138,6,15,103,152,9,7,94,57,57,46
10942,3,4,41,47,5,7,27,19,20,21
60943,8,13,109,146,8,4,82,63,63,46
60871,9,12,113,142,6,6,66,75,75,38
27991,7,14,106,149,6,7,87,61,62,44
77481,3,9,63,88,7,5,50,37,37,26
10353,1,0,12,7,2,5,2,4,4,8
80470,2,1,20,26,4,3,11,14,14,6
51369,8,5,81,92,6,7,52,39,39,41
76201,8,13,112,142,6,5,76,65,66,46
